username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_grp028,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp032,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp031,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp034,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp040,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp038,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp037,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp021,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp024,ACTIVE,PASSED,n/a,n/a,PASSED,PASSED,n/a,MAPD
q4_dec_grp039,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp036,ACTIVE,PASSED,n/a,n/a,PASSED,FAILED,n/a,MAPD
q4_dec_grp025,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp033,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp035,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp026,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,PASSED,MAPD
q4_dec_grp027,ACTIVE,PASSED,n/a,PASSED,PASSED,n/a,n/a,MAPD
q4_dec_grp023,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp022,ACTIVE,PASSED,n/a,PASSED,PASSED,n/a,n/a,MAPD
q4_dec_grp030,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp029,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp056,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp044,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp046,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp045,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp047,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp053,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_grp052,ACTIVE,PASSED,PASSED,n/a,FAILED,PASSED,n/a,MA
q4_dec_grp062,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp049,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp067,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp068,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp058,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp061,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp066,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp063,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp069,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp070,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp060,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp072,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp073,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp088,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp094,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp081,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp093,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp099,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp100,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp111,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp101,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,PASSED,MAPD
q4_dec_grp098,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,PASSED,MAPD
q4_dec_grp084,ACTIVE,PASSED,PASSED,PASSED,PASSED,FAILED,n/a,MAPD
q4_dec_grp112,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp115,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp103,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp104,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp108,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp116,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp087,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_grp085,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_grp090,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_grp110,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_grp130,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp122,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp124,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp125,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp123,TERMINATED,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp137,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_grp142,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp136,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp134,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp138,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp143,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp146,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp145,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp139,ACTIVE,PASSED,n/a,n/a,PASSED,PASSED,n/a,MAPD
q4_dec_grp149,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MA
q4_dec_grp153,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_grp156,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp163,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp164,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MA
q4_dec_grp157,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp161,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp159,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_grp150,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MA
q4_dec_grp180,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
