username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_combo010,<NOT FOUND>,FAILED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_combo006,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MA
q4_dec_combo009,ACTIVE,PASSED,FAILED,FAILED,PASSED,FAILED,n/a,MAPD
q4_dec_combo007,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_combo008,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_combo013,<NOT FOUND>,FAILED,n/a,n/a,FAILED,n/a,n/a,PDP
q4_dec_combo018,<NOT FOUND>,FAILED,FAILED,FAILED,FAILED,FAILED,n/a,MAPD
q4_dec_combo020,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MA
q4_dec_combo019,ACTIVE,PASSED,FAILED,FAILED,PASSED,FAILED,n/a,MAPD
q4_dec_combo021,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MA
q4_dec_combo023,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo025,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo029,<NOT FOUND>,FAILED,FAILED,n/a,FAILED,n/a,n/a,MA
q4_dec_combo028,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MA
q4_dec_combo030,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MA
q4_dec_combo033,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_combo039,<NOT FOUND>,FAILED,n/a,FAILED,FAILED,n/a,n/a,PDP
q4_dec_combo037,ACTIVE,PASSED,n/a,FAILED,PASSED,n/a,n/a,PDP
q4_dec_combo002,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo003,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo004,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo011,<NOT FOUND>,FAILED,n/a,n/a,FAILED,n/a,n/a,PDP
q4_dec_combo007,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MA
q4_dec_combo012,<NOT FOUND>,FAILED,n/a,n/a,FAILED,n/a,n/a,PDP
q4_dec_combo013,<NOT FOUND>,FAILED,n/a,n/a,FAILED,n/a,n/a,PDP
q4_dec_combo017,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_combo020,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MA
q4_dec_combo021,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MA
q4_dec_combo023,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo024,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo025,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo031,<NOT FOUND>,FAILED,n/a,n/a,FAILED,n/a,n/a,MA
q4_dec_combo028,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MA
q4_dec_combo033,ACTIVE,PASSED,FAILED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_combo035,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MAPD
q4_dec_combo039,<NOT FOUND>,FAILED,n/a,FAILED,FAILED,n/a,n/a,PDP
q4_dec_combo001,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo002,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo004,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,PDP
q4_dec_combo006,ACTIVE,PASSED,FAILED,n/a,PASSED,FAILED,n/a,MA
