username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_aarp013,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp011,TERMINATED,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp015,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp017,TERMINATED,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp014,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp012,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp019,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp016,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp020,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp018,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp025,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp037,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp028,TERMINATED,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp030,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp040,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp033,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp031,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp035,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp039,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp034,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp042,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp044,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp045,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp051,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp043,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp050,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp046,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp048,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp052,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp054,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp055,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp056,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp058,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp057,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp069,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp071,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp070,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp068,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp062,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp072,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp073,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp075,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp074,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp076,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,MAPD
q4_dec_aarp077,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp089,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp090,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp093,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp085,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp092,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp087,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp094,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp095,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,MAPD
q4_dec_aarp096,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp097,ACTIVE,PASSED,PASSED,n/a,PASSED,n/a,n/a,MAPD
q4_dec_aarp100,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,MAPD
