MA/PDP PSC, MA/PDP TFN, MS PSC, MS TFN, Date Added, Date Updated, Site, Employer Group Indicator,Endorsed Group Indicator, Group Effective Date, Site Name, Group Number,Contract Number, PBP Number, Employer Id, Branch Id, Contract Year, Subdomain
12345abc,8888888888,ABC,8888888888,03/19/2015,03/19/2015,AARPMedicarePlans,N,,,,,,,,,,
800028,1-866-257-3880,AEP,1-866-408-5545,09/30/2011,09/04/2014,AARPMedicarePlans,N,,,,,,,,,,
800042,1-866-624-9260,5T5,1-866-326-7772,01/09/2013,01/09/2013,AARPMedicarePlans,N,,,,,,,,,,
800043,1-866-624-9261,5T5,1-866-326-7772,01/09/2013,01/09/2013,AARPMedicarePlans,N,,,,,,,,,,
800044,1-866-624-9264,5T5,1-866-326-7772,01/09/2013,01/09/2013,AARPMedicarePlans,N,,,,,,,,,,
810027,1-877-699-5710,AEP,1-866-408-5545,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
810081,1-866-366-0374,5RJ,1-866-321-3532,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
810083,1-866-448-8426,5RJ,1-866-321-3532,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
810104,1-877-608-5598,5T9,1-866-327-1593,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
810105,1-800-850-8230,5T9,1-866-327-1593,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
810106,1-800-850-6807,5T9,1-866-327-1593,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
810107,1-877-628-7551,53D,1-877-502-5280,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
820011,1-866-658-5493,5T5,1-866-326-7772,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830024,1-866-658-8354,5T5,1-866-326-7772,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830026,1-866-658-8389,5T5,1-866-326-7772,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830029,1-866-658-8422,5T5,1-866-326-7772,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830030,1-877-553-6917,55K,1-888-708-8784,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830031,1-855-380-3583,55K,1-888-708-8784,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830032,1-800-295-2616,55K,1-888-708-8784,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830033,1-800-296-0125,55K,1-888-708-8784,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
830034,1-800-376-3194,55K,1-888-708-8784,09/28/2012,09/28/2012,AARPMedicarePlans,N,,,,,,,,,,
860002,1-877-610-2672,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
860003,1-877-441-1704,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
860004,1-877-567-0355,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
860005,1-800-371-0751,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
860006,1-877-629-3607,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
860007,1-877-669-2794,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
860008,1-866-874-8356,55Y,1-888-708-8922,09/30/2011,10/05/2011,AARPMedicarePlans,N,,,,,,,,,,
860026,1-877-578-5463,9BZ,1-866-267-3181,10/30/2012,10/30/2012,AARPMedicarePlans,N,,,,,,,,,,
860029,1-866-249-5713,9VS,1-877-227-7140,01/23/2013,01/23/2013,AARPMedicarePlans,N,,,,,,,,,,
880039,1-800-470-3145,5RY,1-866-324-1911,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880058,1-866-300-5413,22E,1-866-268-9834,09/30/2011,10/12/2012,AARPMedicarePlans,N,,,,,,,,,,
880079,1-877-558-4757,5RJ,1-866-321-3532,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880083,1-877-630-8722,5RC,1-866-320-9677,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880087,1-877-711-5896,5RN,1-866-322-0224,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880104,1-877-683-9070,53C,1-877-502-5279,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880105,1-877-402-1809,53W,1-888-708-8779,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880149,1-877-231-1475,53W,1-888-708-8779,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880150,1-877-603-0983,53C,1-877-502-5279,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880151,1-877-481-6637,53C,1-877-502-5279,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880154,1-877-630-8724,55K,1-888-708-8784,01/09/2013,01/09/2013,AARPMedicarePlans,N,,,,,,,,,,
880159,1-877-477-6399,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880161,1-877-699-5711,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880162,1-877-530-9748,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880163,1-877-578-4464,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880169,1-877-470-2638,5T5,1-866-326-7772,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880170,1-877-477-6395,5T5,1-866-326-7772,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880171,1-877-470-2515,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880172,1-877-470-2567,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880173,1-877-470-2619,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880174,1-877-470-2623,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880175,1-877-470-2636,55K,1-888-708-8784,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880181,1-877-688-6640,5RY,1-866-324-1911,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880182,1-877-696-3389,5RV,1-866-324-0819,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880183,1-877-696-3393,5T5,1-866-326-7772,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880195,877-725-9327,25S,888-378-9034,12/10/2014,12/10/2014,AARPMedicarePlans,N,,,,,,,,,,
880195,1-877-725-9327,9SZ,1-866-418-2481,03/07/2012,03/07/2012,AARPMedicarePlans,N,,,,,,,,,,
880206,1-800-607-4306,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880216,1-877-583-3115,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880219,1-866-413-7433,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880220,1-866-206-7819,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880221,1-866-507-5721,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880222,1-866-507-5720,55Y,1-888-708-8922,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880223,1-866-874-6901,55Y,1-888-708-8922,09/30/2011,10/05/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,A2N,1-866-270-6424,05/25/2012,05/25/2012,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,8ZK,1-866-244-1939,10/27/2011,10/27/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,8ZH,1-866-243-3337,10/27/2011,10/27/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,9LR,1-866-304-6897,04/03/2012,04/03/2012,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,9ZZ,1-888-216-8075,05/25/2012,05/25/2012,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,8ZL,1-866-245-9668,10/27/2011,10/27/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,8ZJ,1-866-244-1938,10/27/2011,10/27/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,A2P,1-800-272-2146,05/25/2012,05/25/2012,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,9LM,1-866-304-2288,12/21/2011,12/21/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2W8,1-888-486-0508,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2V6,1-888-486-0318,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2UB,1-888-281-1863,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,3U4,1-866-465-0088,02/14/2014,02/14/2014,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2F4,1-888-265-9286,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2F6,1-888-281-1343,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,32H,1-866-739-6496,10/04/2013,10/04/2013,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,4HE,866-405-5144,08/18/2014,08/18/2014,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,5TM,1-866-263-3255,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2UE,1-888-281-5101,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2EY,1-888-246-8123,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2F5,1-888-265-9314,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2F3,1-888-265-9249,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,2EX,1-888-246-0253,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,5NY,1-866-246-8170,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,5NM,1-888-887-0510,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,8ZG,1-866-242-3999,09/30/2011,10/27/2011,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,9LS,1-866-305-6279,01/27/2012,01/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,9LT,1-866-307-2390,01/27/2012,01/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,A9Y,1-800-890-0118,05/31/2013,05/31/2013,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,22K,1-866-301-3853,04/30/2015,04/30/2015,AARPMedicarePlans,N,,,,,,,,,,
880224,1-866-699-2307,32F,1-866-439-1334,03/25/2015,03/25/2015,AARPMedicarePlans,N,,,,,,,,,,
880226,1-866-843-5910,9C2,1-866-267-4954,10/01/2011,10/01/2011,AARPMedicarePlans,N,,,,,,,,,,
880231,1-866-276-9983,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880232,1-877-714-0238,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880233,1-877-779-9788,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880234,1-877-534-2026,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880235,1-877-527-4404,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880236,1-877-494-3158,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880237,1-877-481-6647,55X,1-888-708-8918,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880285,1-800-206-7182,5RN,1-866-322-0224,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880289,1-877-346-7004,5RC,1-866-320-9677,09/30/2011,09/30/2011,AARPMedicarePlans,N,,,,,,,,,,
880297,1-800-586-0774,22G,1-866-296-2289,09/30/2011,10/12/2012,AARPMedicarePlans,N,,,,,,,,,,
880341,1-855-208-9266,AEP,1-866-408-5545,10/01/2011,02/01/2012,AARPMedicarePlans,N,,,,,,,,,,
880342,1-866-310-0761,AEP,1-866-408-5545,10/01/2011,10/01/2011,AARPMedicarePlans,N,,,,,,,,,,
880347,1-877-714-0177,53W,1-888-708-8779,10/06/2011,10/13/2011,AARPMedicarePlans,N,,,,,,,,,,
880350,1-877-619-5581,9C4,1-866-267-6077,10/05/2011,10/05/2011,AARPMedicarePlans,N,,,,,,,,,,
880351,1-866-624-9258,53C,1-877-502-5279,10/05/2011,10/05/2011,AARPMedicarePlans,N,,,,,,,,,,
880355,1-877-736-8559,56A,1-888-708-8924,10/13/2011,10/13/2011,AARPMedicarePlans,N,,,,,,,,,,
880364,1-866-612-3716,53W,1-888-708-8779,11/01/2011,11/01/2011,AARPMedicarePlans,N,,,,,,,,,,
880368,1-855-301-7515,55K,1-888-708-8784,12/21/2011,12/21/2011,AARPMedicarePlans,N,,,,,,,,,,
880392,1-855-398-9382,56A,1-888-708-8924,01/05/2012,01/05/2012,AARPMedicarePlans,N,,,,,,,,,,
880398,1-855-828-8945,9SY,1-866-562-0929,03/06/2012,03/06/2012,AARPMedicarePlans,N,,,,,,,,,,
880398,1-855-828-8945,58N,1-888-395-2013,01/11/2012,02/02/2012,AARPMedicarePlans,N,,,,,,,,,,
880398,1-855-828-8945,9NB,1-866-434-6735,01/11/2012,02/02/2012,AARPMedicarePlans,N,,,,,,,,,,
880403,1-877-610-2684,53W,1-888-708-8779,02/24/2012,02/24/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,6M3,1-877-470-7001,11/29/2012,11/29/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BB,1-866-897-3771,12/21/2012,12/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BC,1-866-897-3773,12/21/2012,12/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BD,1-877-227-7092,12/21/2012,12/27/2012,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2BN,1-888-486-0504,01/10/2013,01/10/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2E3,1-866-301-2918,07/03/2013,07/03/2013,AARPMedicarePlans,N,,,,,,,,,,
880436,1-877-530-9725,2LE,1-866-263-7585,07/10/2013,07/10/2013,AARPMedicarePlans,N,,,,,,,,,,
