username,Plan Status,login validation,Med Claims,Rx Claims,Payment,Medical EOB,Rx EOB,Plan Type
q4_dec_ship010,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship001,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship009,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship008,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship002,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship007,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship004,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship005,ACTIVE,PASSED,PASSED,n/a,FAILED,FAILED,n/a,null
q4_dec_ship003,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship006,ACTIVE,PASSED,n/a,n/a,PASSED,PASSED,n/a,null
q4_dec_ship021,TERMINATED,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship023,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship024,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship025,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship022,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship032,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship033,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship031,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship039,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship040,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,null
q4_dec_ship043,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship044,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship041,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship051,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship055,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship042,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship058,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship059,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship046,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship060,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship062,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship068,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship066,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship072,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship061,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship075,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship077,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship078,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship079,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship080,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship081,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship086,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship085,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship091,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship094,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship095,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship097,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship098,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship099,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship100,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship101,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship106,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship105,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship107,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship112,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship115,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship117,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship118,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship119,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship120,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship127,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship122,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship126,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship133,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship131,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship135,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship137,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship138,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship139,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship140,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship142,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship143,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship148,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship147,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship151,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship150,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship157,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship158,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship159,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship160,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship162,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship163,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship164,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship165,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship171,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship172,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship177,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship178,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship179,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship180,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship182,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship181,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship183,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship184,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship190,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship197,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship198,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,null
q4_dec_ship191,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship199,ACTIVE,PASSED,n/a,n/a,PASSED,n/a,n/a,null
q4_dec_ship200,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship202,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship204,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship201,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship205,ACTIVE,PASSED,n/a,n/a,FAILED,n/a,n/a,null
q4_dec_ship212,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship214,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship217,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship218,<NOT FOUND>,PASSED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship220,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
q4_dec_ship221,<NOT FOUND>,FAILED,n/a,n/a,null,n/a,n/a,null
q4_dec_ship222,ACTIVE,PASSED,PASSED,n/a,FAILED,n/a,n/a,null
